"r"	"x"	"z"
0	2.92595669999719	-4.42666495218873
0	-5.90935464203358	-0.266968946903944
0	2.88713093101978	-2.43964595720172
0	-6.04912605881691	2.14613373950124
0	6.61082840710878	-8.19208357855678
0	-2.00589041411877	-3.83468978479505
1	0.471823737025261	7.22826730087399
1	2.06688402220607	2.84416878968477
1	-0.908342763781548	-0.356921341270208
1	-4.89033531397581	10.2920188121498
0	5.97290788590908	-10.981192920357
0	-6.1524814888835	4.13772271573544
1	-1.004624158144	1.72394108772278
0	6.50362176075578	-10.5925888083875
0	-0.663832817226648	-2.85763772577047
0	-1.3215173073113	-5.53540858998895
1	6.10578258708119	-5.00970576331019
0	-3.06224644556642	-4.23326684907079
0	5.73253097757697	-10.4834215044975
0	-1.47063188627362	-5.61954972893
0	-5.7218118198216	-0.0635792389512062
1	5.9561059102416	1.79544176533818
0	0.0957703702151775	-5.41230492293835
1	7.60131532326341	-1.99986544623971
0	-6.320805195719	-1.02450945228338
0	4.11184320598841	-11.3333292715251
0	-1.62940447032452	2.12655402347445
0	-7.55524194613099	3.83641820028424
1	-5.28916507586837	12.8899332247674
1	-1.06463273242116	3.8880850225687
1	3.15676243975759	0.00271583721041679
0	2.93115584552288	-7.56315225362778
0	2.09298985078931	-8.2530635073781
0	3.69502044096589	-5.39919087663293
0	-0.0262129306793213	-0.49161771312356
1	3.463318426162	1.65886859223247
0	-2.4776614010334	2.71592106297612
1	-3.82772608101368	9.2619715295732
1	0.670197773724794	-0.582470655441284
0	-6.08815218135715	0.221412662416697
1	-3.0781537219882	7.49376945570111
0	-5.88024614751339	-0.848545607179403
1	3.91981764137745	2.73153034970164
0	4.22356290742755	-5.15442017838359
1	2.7285888530314	-6.14281358942389
0	-1.80245264619589	-3.50580576062202
1	-6.30852814018726	8.47468476369977
1	-4.57963084056973	4.03174001350999
0	5.39188475161791	-7.83342007920146
1	5.91702852398157	-0.0892834216356277
0	4.51881003379822	-6.64286087825894
0	2.75471793860197	-2.98273703083396
0	1.50794737786055	-9.04830046743155
1	-0.967950202524662	6.79320035502315
0	-3.06247010827065	-2.86440762504935
0	-7.41946982219815	5.40818213671446
0	-2.86446764692664	0.709478631615639
1	3.51394467055798	-0.724736396223307
1	3.35770325735211	-1.26162023469806
1	0.855578701943159	6.59426581859589
0	1.57181937620044	-8.9875835776329
1	6.06440367922187	-4.98785126954317
0	6.43880129605532	-4.06409217789769
1	2.13907789066434	5.76974360272288
0	-7.29277768731117	1.09643025323749
1	1.48412451520562	4.72869940847158
1	-1.39661840349436	5.89570314064622
1	-6.18368435278535	13.2242360077798
0	5.77444234862924	-8.45700081065297
1	1.86761178448796	-3.91234127804637
1	-7.21880810707808	13.4757540002465
1	0.230522900819778	-0.912426892668009
1	-4.28947799652815	8.12841319292784
1	-6.86156376451254	10.3820573091507
0	-0.124093230813742	-5.08806790411472
0	-4.61905426159501	-3.02166279405355
0	1.51535280421376	-9.09206405282021
0	7.2468025945127	-14.2866035550833
0	-3.4979633949697	2.67786213755608
1	-7.5677638053894	14.7336871065199
1	-3.27716588973999	6.40573486313224
1	-1.77119719609618	0.245840113610029
0	-4.39311981573701	-2.10827193036675
1	-4.42839775234461	10.756121750921
1	5.70430637523532	-6.91155800223351
0	4.8790482506156	-5.7155521735549
1	-7.89424615353346	12.2036304660141
1	6.34995039924979	1.59065913036466
1	-5.74288889765739	6.84011540934443
0	7.33303985744715	-11.2205209322274
0	-3.37325062975287	-0.130550526082516
0	-4.26888427510858	0.101688157767057
0	-4.07941783592105	1.56705493852496
0	-4.35649877786636	0.183641955256462
1	2.03052795305848	2.64628179371357
1	-1.59086661040783	-2.62327937781811
1	-0.702836450189352	4.67195131629705
1	6.6678038276732	-4.78792547062039
0	-1.08216822519898	-2.75848892331123
0	1.42442544922233	-5.97709225490689
