"g"	"x1"	"x2"	"d"
"b"	0.178849293617532	0.568138297297992	"tiger"
"a"	0.46696149953641	1.13487697497476	"dragon"
"a"	0.918456277577206	1.22643225837965	"dragon"
"b"	0.42775050108321	0.531245549325831	"dragon"
"a"	0.81178457243368	1.25231255940162	"phoenix"
"b"	0.783668833319098	0.694456359837204	"tiger"
"c"	0.292244710959494	0.148238485213369	"dragon"
"a"	0.1884611020796	1.05337603390217	"phoenix"
"a"	0.00782663584686816	0.925711501506157	"phoenix"
"a"	0.363978661363944	0.813977841869928	"dragon"
"a"	0.490070112515241	0.832721959566697	"tiger"
"a"	0.916470332769677	1.38147545733955	"tiger"
"a"	0.10366928181611	0.525822688010521	"phoenix"
"d"	0.617058051982895	0.335116526694037	"dragon"
"d"	0.569178804755211	0.732699664542452	"tiger"
"b"	0.855006078258157	0.62713901209645	"tiger"
"a"	0.295136162079871	1.10948196006939	"tiger"
"a"	0.45665782969445	0.312650535954162	"phoenix"
"d"	0.951895280042663	0.571188708418049	"tiger"
"a"	0.0288557133171707	0.753282716847025	"dragon"
"d"	0.806028506252915	0.662514380877838	"dragon"
"a"	0.20091902394779	0.963018606300466	"phoenix"
"c"	0.044487526640296	0.275818029884249	"phoenix"
"a"	0.492152359569445	0.344471724820323	"dragon"
"c"	0.921310561709106	0.473340614931658	"phoenix"
"a"	0.676724256016314	0.604016350116581	"tiger"
"b"	0.579784916248173	1.00865317392163	"tiger"
"a"	0.938871085876599	1.45174307620618	"tiger"
"b"	0.308370923623443	0.201368605485186	"dragon"
"d"	0.835313876857981	0.52376097755041	"phoenix"
"b"	0.693204424809664	1.10533245955594	"phoenix"
"b"	0.765593162039295	1.36900420242455	"tiger"
"b"	0.893435325240716	0.560852447408251	"phoenix"
"c"	0.502587524941191	1.03077978093643	"phoenix"
"a"	0.262277926318347	0.893601786578074	"phoenix"
"c"	0.0466893042903394	0.159374593407847	"tiger"
"a"	0.207914220634848	0.888513534329832	"phoenix"
"c"	0.481042922474444	0.864410949638113	"tiger"
"b"	0.606209300924093	0.883950426243246	"tiger"
"a"	0.47163430810906	0.739887616713531	"phoenix"
"c"	0.622647586744279	0.405878526158631	"phoenix"
"c"	0.70175813138485	0.695306186098605	"tiger"
"a"	0.674810123397037	1.20580785360653	"tiger"
"a"	0.492447739699855	1.15762296633329	"phoenix"
"c"	0.968161086784676	0.57809338986408	"dragon"
"a"	0.35691293515265	0.197669531917199	"phoenix"
"a"	0.402395935263485	0.747105163056403	"dragon"
"b"	0.74536083987914	0.64648652204778	"phoenix"
"b"	0.304865034995601	0.780062349862419	"tiger"
"a"	0.632221335545182	1.04293116414919	"phoenix"
"b"	0.382903996855021	0.516710076015443	"dragon"
"b"	0.227678100345656	0.700037520262413	"tiger"
"b"	0.264453514944762	0.723768392112106	"dragon"
"b"	0.335653715766966	0.575043083634228	"tiger"
"c"	0.0904652953613549	0.58197832677979	"tiger"
"a"	0.423651020042598	0.742183693451807	"dragon"
"a"	0.823828476248309	0.932802066789009	"phoenix"
"d"	0.823377794818953	0.97234249219764	"tiger"
"d"	0.596887346822768	0.368945906870067	"tiger"
"a"	0.251742461696267	0.827593540772796	"tiger"
"b"	0.777681349078193	1.23105520789977	"dragon"
"b"	0.457928446354344	0.468997332383879	"dragon"
"a"	0.106292911805212	0.970101085724309	"dragon"
"b"	0.71958131226711	0.922956818831153	"phoenix"
"d"	0.359146651113406	0.407115946640261	"dragon"
"b"	0.777450429974124	1.00707863306161	"dragon"
"c"	0.282612210838124	0.289377186098136	"phoenix"
"a"	0.683366499375552	1.29304910404608	"tiger"
"a"	0.00353091489523649	0.831655085319653	"tiger"
"a"	0.0468822796829045	0.815089161507785	"phoenix"
"d"	0.841739237075672	1.01437972893473	"phoenix"
"b"	0.0393331288360059	0.479827797971666	"tiger"
"c"	0.702169748721644	0.995335452375002	"tiger"
"b"	0.393618372501805	0.622836885391735	"tiger"
"b"	0.977205053204671	0.685723353060894	"dragon"
"a"	0.1100324310828	0.662602003081702	"phoenix"
"a"	0.532691719476134	0.661906766705215	"dragon"
"b"	0.683927228674293	1.10777311120182	"dragon"
"b"	0.935406272066757	1.04527682124171	"phoenix"
"a"	0.423407033318654	0.793165036360733	"tiger"
"b"	0.285538012627512	0.400226021651179	"phoenix"
"a"	0.986265182262287	1.19037899526302	"dragon"
"a"	0.392561536515132	0.781232860754244	"phoenix"
"a"	0.527280248934403	1.1799333820818	"phoenix"
"a"	0.264860511291772	1.11730384011753	"dragon"
"a"	0.321333791129291	0.74647294729948	"tiger"
"c"	0.208211509045213	0.599658394930884	"tiger"
"a"	0.41507390444167	0.34087547136005	"dragon"
"b"	0.301214528735727	0.40253032441251	"tiger"
"a"	0.174733533989638	0.785821730503812	"phoenix"
"a"	0.0762400133535266	0.570871405536309	"dragon"
"a"	0.485676660668105	1.07438796805218	"phoenix"
"b"	0.488144007977098	0.349458057200536	"phoenix"
"b"	0.407841413281858	0.289299810538068	"phoenix"
"b"	0.999975621700287	1.00458778673783	"tiger"
"b"	0.655443576397374	0.510431392001919	"dragon"
"d"	0.872611262369901	0.580631155520678	"tiger"
"b"	0.145640854723752	0.758164518745616	"dragon"
"a"	0.20599174243398	1.00804233376402	"tiger"
"c"	0.163361412473023	0.465524800587445	"tiger"
