"x"	"y"	"z"	"ans"	"pos"
1.52391156833619	2.12708374104814	0.251507255714387	"no"	"high"
1.1519182799384	2.37236364610892	0.346984423696995	"yes"	"high"
1.64828646043316	6.95431373303613	-0.265008985996246	"no"	"low"
1.45894669136032	4.0466814475415	-0.201736536808312	"no"	"high"
1.86527608474717	4.82815801554507	-0.239228194579482	"yes"	"high"
0.806560804601759	5.00065381071868	-0.582918335217983	"no"	"low"
0.660115444567055	3.74986340859344	-0.318763049319386	"yes"	"low"
1.90106339519843	2.72732381946817	0.965614434797317	"no"	"low"
0.108128782361746	1.27315995582352	0.0436044111847878	"no"	"high"
0.70020415307954	1.83668388628525	-0.0140011943876743	"yes"	"high"
0.926664843223989	2.44707115896412	0.180899728089571	"no"	"low"
0.078522308729589	-0.0519299611557918	0.673103265464306	"no"	"low"
1.24639791203663	2.51660554723954	0.335273188073188	"no"	"high"
0.0743596409447491	-1.82516085027942	0.702087256591767	"yes"	"low"
0.873397644143552	-0.596337159356067	0.911132867913693	"yes"	"low"
1.71407816465944	2.80239551770377	0.827048861887306	"no"	"high"
1.62864652043208	6.55026789681621	-0.554285850375891	"no"	"high"
0.274689961690456	-1.08840917651648	0.929916420020163	"no"	"low"
1.16523156128824	1.48695004029419	0.365977126173675	"yes"	"high"
1.75217093620449	4.0223599770373	0.663533978629857	"yes"	"low"
0.377641095779836	0.218166957580854	0.822843974456191	"yes"	"low"
1.57942046178505	3.59559420347507	0.321925133466721	"yes"	"low"
1.73062265617773	3.58240763671707	-0.104958669748157	"no"	"high"
0.937360738404095	2.15635455705487	-0.224360106512904	"yes"	"high"
1.21375184506178	2.14008495300918	0.385804950259626	"no"	"low"
1.33917323173955	4.87549578641104	-0.622355896048248	"yes"	"high"
1.53002862399444	5.95971216864753	-0.517662755679339	"yes"	"high"
0.813258879818022	5.09424983864353	-0.983063799794763	"no"	"high"
0.824106524698436	2.72967414350079	-0.541853903327137	"yes"	"high"
0.494443679228425	3.81349482114918	-0.870144834276289	"no"	"high"
