"id"	"t"	"y"	"x"	"z"
"1"	"1"	1.07230843935284	0.119644507067278	0.0729608458932489
"1"	"2"	1.21003571055351	0.186730819055811	0.543248064583167
"1"	"3"	0.615706877523941	0.255901684751734	0.0412900752853602
"1"	"4"	-0.622098028374069	0.479175449581817	0.999128807801753
"1"	"5"	-0.177460619525234	0.925665798597038	0.930460097268224
"2"	"1"	-0.771115066083823	0.1110870372504	0.45482859807089
"2"	"2"	0.166988807989316	0.820381085621193	0.237622095271945
"2"	"3"	-0.156652965158764	0.238555384101346	0.76396690052934
"2"	"4"	-1.70073441784463	0.156905624549836	0.583534824894741
"2"	"5"	-2.45751147402641	0.828985425410792	0.293801052030176
"3"	"1"	-0.314276528728429	0.226693000411615	0.19269258948043
"3"	"2"	-1.81638914888673	0.932884578360245	0.98338138172403
"3"	"3"	-0.866812093152395	0.328931007999927	0.857683612965047
"3"	"4"	-0.620010203934309	0.404440801590681	0.681220641359687
"3"	"5"	1.6427928827519	0.49048122484237	0.124866079073399
"4"	"1"	0.510639359346543	0.297247461043298	0.113181847380474
"4"	"2"	0.5887623093432	0.0592269320040941	0.219062527408823
"4"	"3"	-0.376799678267265	0.661246948176995	0.71859810478054
"4"	"4"	2.0255300836544	0.872607489582151	0.774834694806486
"4"	"5"	3.27484275085693	0.33115232293494	0.287044308381155
"5"	"1"	-0.666350599778472	0.514069398166612	0.743141164071858
"5"	"2"	-0.0537279965346698	0.783246957231313	0.614446129184216
"5"	"3"	-0.808635757623069	0.289776351535693	0.810790221672505
"5"	"4"	-0.339041295686009	0.326884433394298	0.331563821760938
"5"	"5"	-0.593514378451246	0.0788156073540449	0.194749989081174
"6"	"1"	1.28819568115765	0.628264549188316	0.747290973551571
"6"	"2"	1.18910057222728	0.520539258606732	0.722267392091453
"6"	"3"	-0.113051138490207	0.588641503825784	0.812465580413118
"6"	"4"	-1.7562929839698	0.259789765579626	0.827051798813045
"6"	"5"	1.38201768991964	0.342137923464179	0.482030748156831
"7"	"1"	0.712631132949424	0.534180306829512	0.802573520690203
"7"	"2"	-1.13899000188358	0.415987153537571	0.355515979463235
"7"	"3"	-2.12119544950031	0.738529129652306	0.9115841970779
"7"	"4"	-2.76904607043761	0.0646942013408989	0.670892928959802
"7"	"5"	0.123452854133253	0.966734800720587	0.469666280550882
"8"	"1"	1.43984738385367	0.739115666365251	0.0708732756320387
"8"	"2"	0.727139200960312	0.183793541975319	0.478216950781643
"8"	"3"	4.93975508663493	0.608207496581599	0.371863624779508
"8"	"4"	1.44468342263779	0.523641481297091	0.510864372830838
"8"	"5"	2.32571470587792	0.933127620490268	0.256173987407237
"9"	"1"	0.585294266588376	0.155608450528234	0.0655790311284363
"9"	"2"	-2.16953932596137	0.346485174726695	0.956297374563292
"9"	"3"	-0.482167825052992	0.50655736355111	0.497157946461812
"9"	"4"	0.160114892189525	0.544398317346349	0.601062258938327
