"y"	"x"	"z"	"o"
14	-0.565714649390429	-0.743445550557226	11
10	0.82887143548578	0.186569363344461	6
71	0.596866966690868	-0.405400078743696	24
18	-0.540819027461112	-0.165371233597398	30
2	-0.686769010033458	0.81679329322651	22
0	0.937071490101516	0.863970084115863	2
25	-0.0940990005619824	0.0651528416201472	34
132	0.358790936414152	0.64705217955634	156
17	-0.614076414145529	-0.751324679236859	20
28	0.809040734078735	0.597592895384878	33
391	0.105948733631521	-0.147620997857302	313
78	-0.577163956593722	-0.0422196630388498	121
108	-0.732897119130939	-0.712487099226564	116
110	-0.378948830068111	0.718205591198057	350
15	0.221596817951649	0.926791263744235	19
15	-0.600968544371426	0.117579890415072	31
103	-0.00419500004500151	0.921262744348496	300
25	-0.25287909572944	0.164818825665861	44
35	0.108004337176681	0.579807881265879	60
170	0.474305260926485	-0.340455558151007	86
43	0.146948614623398	0.607088992837816	63
208	-0.672942732460797	0.476503783836961	644
21	-0.130225409287959	0.352201207540929	37
79	0.687855200376362	0.963429782073945	107
563	0.60730069829151	0.0263148481026292	283
423	0.112037600018084	-0.637697393074632	159
246	-0.0589199005626142	-0.580266312230378	153
234	0.266247323248535	0.260661686770618	151
48	0.21786589268595	0.977445148862898	63
151	0.239244022406638	0.279207271989435	100
2	-0.866673754993826	0.921247317455709	50
30	0.367015730589628	0.269616371951997	13
1612	0.892836754210293	0.235110741108656	136
5	-0.553396391682327	0.332325502298772	40
22	-0.962429264094681	-0.936268416699022	148
15	-0.0987885990180075	0.697014778386801	46
122	-0.0978762377053499	-0.122093389276415	135
78	-0.332266810815781	-0.738627625163645	86
30	-0.906585747841746	-0.791489976458251	226
6	-0.520852007437497	-0.277764899656177	20
37	-0.144783023744822	0.884808394126594	127
60	0.499856848735362	-0.897409664932638	6
486	-0.00477949064224958	-0.868064982816577	210
4	-0.685735346749425	-0.243980947416276	33
351	0.346499089617282	0.134866676293314	141
124	0.168844312895089	-0.285957374144346	63
24	-0.112863728310913	0.15185812395066	29
6	-0.722527859266847	0.92901929654181	226
298	-0.210678532253951	-0.0392745188437402	540
3	-0.4464764399454	0.169295674655586	37
